Sorszám,Kész,Munkaszám,Beérkezés,Ki hozta be?,Kiszállítás / Elkészülés,Megrendelő,Géptípus,"Gépépítőelem 
megnevezése","Gépépítőelem 
típusa","Gépépítőelem 
sorozatszáma",Hibajelenség,Mechanikus munka,Elektromos munka,Dolgozó(k),Telephelyi munkaóra,"Gépészeti 
 munka", Mechanikus anyagok, Elektromos anyagok," Külsős megbízásos munkák, beszállítók","Tartozékok, megjegyzés",fiz/gar,✓,
TH0127,0,M19050,2021.09.06.,,2021.09.08.,CSABA METÁL ZRT. ,EmB-1305G,Szerszámváltó kar,,,orientáció elállítódik  -szerszámváltó kar deformált,"egyengetés, beállítás",,"Schmiedmeiszter P., Budai A.",2 óra,,,,,,,,
TH0128,0,M20005,2021.09.08.,,2021.09.21,NCT Taksony (GYŐRFI JÓZSEF EV),EML-510,Főorsó,8.000 RPM,,felújítás,kúpköszörülés rugók cserélye húzóerőmérés összeépítés /járatás,-,"Schmiedmeiszter P., Budai A.",6 óra,,,,,,,,
TH0129,0,M08127,2021.09.08.,,2021.09.13,ASK-M MŰSZERTERVEZŐ GYÁRTÓ ÉS SZOLGÁLTATÓ KFT.,EML-510,Munkahenger,,,Pneumatikus rendszerből gyorsan (3-4 óra) elfogy az olaj.,Bontás tiszttás tömítések cseréje légtelenítés,,"Budai A.
Schmiedmeiszter P.
Tóth V.",2 + 2 óra,,"1db KN/SN25 14 x 22 x 05/06 AUG92 MA25 tömítés
1db UHS 40VALQUA4 tömítés
1db 14x2.4 O
1db  90x5.5 O",,,,,,
TH0130,0,M18126,2021.09.10.,,2021.09.17,HUONKER HUNGÁRIA KFT.,JSL-32BMs,Főorsó,(bal) 7.000 RPM,,főorsó rettenetesen hangos és melegszik,"bontás, tisztítás, csapágycsere, járatás, jeladó tárcsa és jeladó csere, járatás",jeladó bekötés,"Schmiedmeiszter P., Budai A. Ginter E.",2 x 12 óra ,,"2db 7013 CTRDULP3
2db 7015 ACTRDULP3
1db JSL 32 jeladó tárcsa ",1db  GEL 2444KNPG3K150 jeladó,,A hátulsó csapágy kosara törött volt  /7013/ A járatáshoz jeladó szükséges,,,
TH0131,0,M14240,2021.09.28.,,2021.10.08,Spilller 2000 Kft.,Smart-30,Motororsó,"AMS112MW20-A2-5/32(9,5kW;45Nm;27A);Smax:6000",,hangos,bontás tisztítás csapágyak cseréje illesztés összeépítés járatás ,,"Schmiedmeiszter P.
Budai Attila.",2 x 6 óra,,2db  7018A5TRDULP 1db 1012BKR (NSK) orsómotorhoz,,,,,,
TH0132,2,M18168,2021.09.28.,,,"SOMAPAK KFT. 
(tartalék SZÉV)",MXS-650DD,Főorsó,POSA 15.000 RPM,PDD47B-C-MF 5A 18071716PA,csapágyas,csapágyak és tömítések  cseréje,,"Schmiedmeiszter P., Budai A.",,,"4db FAG HC7014-C-T-P4S-UL
Tömítések: 
2db O 09,25 x 1,78 NBR70
2db O 105 x 3 NBR70 
1db KN/SN21 75 x 85 x 06/07 NBR90 
2db  SNI30 95 x 110 x 09/10 AUG92 MA30 
0.25m FB01 08x2 PTFE/BRONZ 
",,,,,,
TH0133,0,M20183,2021.09.29.,,2021.10.07,TOBROCO MACHINERY KFT.,CT-60,Revfej,SAUTER VDI40/2/12,,egy ponton szorul,"szétszereles, tisztítás, illesztés, tömítés csere ",,"Schmiedmeiszter P., Budai A.",2 x 8 óra,,1db O 240 x 3 NBR70 ,,,,,,
TH0134,0,M14229,2021.09.30.,,2021.11.11.,METARAD CNC KFT. ,TCS-1500,Revfej,BARUFFALDI TBMA-200 VDI30/1/16 revfej,,korródáció miatt a futófelület nem egyenletes emiatt hangos,"szétszedés, tisztítás, hibafeltárás: a tűgörgők futófelületei megkoptak, a felület felújítása szükséges, tömítések cseréje
Juhász Műhely: tengely és fogaskoszorú furatának köszörülése, görgő kosár tűgörgő helyeinek felbővítése 4,0->5,0, tűgörgők illesztése
revolverfej összeszerelése, próbája: hajtott szerszám hangos
",,"Schmiedmeiszter P., Budai A.",24 + 40 óra,,"tömítések: O ZSINOR 02,00mm NBR70, 10x2 12db, 300x1,5 1db, 200x2 1db, 40x2 1 db
5,0x8-as tűgörgők 40 db
Juhász: fogaskoszorú furat + tengely palást felköszörülése + tűgörgős kosár felbővítése + túlméretes görgőkkel próba (0,02-0,03 hézag)
hajtott szerszám motorhoz: szimmering, csapágyak 6205 1 db, 6004 1 db",,Juhász Műhely,,,,
TH0135,0,M14249,2021.10.13.,,2021.10.27.,DOROTI PACK KFT.,EML-510,Főmotor,HPB VM100L,13120622F,csapágyas?,"járatás, átütütés vizsgálat",,"Schmiedmeiszter P., Rákosréti J.",4 + 3 óra,,,,,,,,
TH0136,0,M08073,2021.10.18.,,2021.10.20.,MAGYARMET KFT.,TMV-1050A,Főmotor,BAUMÜLLER,,csapágyas,csapágycsere,jeladócsere,"Schmiedmeiszter P., Budai A., Rákosréti J.",3x8 óra,,"6307 csapágy 1 db 
6309 csapágy 1 db","ERN 1320 / 1024 / HEIDENHAIN forgójeladó, átm. 12 mm-es zsákfuratos tengellyel / ID: 385423-18",,,,,
TH0137,0,M18120,2021.10.20.,,2021.11.03.,EMPLASTRUM KFT.,EmL-610B,Főmotor,HPB VM100L-54-40-15-10,,"csapágyas, jeladócsere",átcsapágyazás,jeladócsere,"Schmiedmeiszter P., Budai A., Ginter E.",6 + 6 + 1 óra,,"1 db 6207 csapágy
1 db 6308 csapágy",1 db Tamagawa TTL/1024P jeladó,,,,,
TH0138,0,M13054,2021.11.02.,,2021.11.18.,HÁZAK-ÁSZA KFT. ,MM-760,Főmotor,"HPB VM100S-54-40-15-08/5,73kW",,csapágyas,"bontás, csapágyazás, tisztítás",,Schmiedmeiszter P.,8 óra,,"1 db NTN (6306 VVC3)
1 db 6307 VVC3",,,,,,
TH0139,0,M12070,2021.11.02.,,2021.11.10.,PETRUS IPARI KERESKEDELMI ÉS SZOLGÁLTATÓ KFT.,VD-510,"Főorsó 
Főmotor","20.000 RPM 
20.000 RPM",,főmotor és főorsó is csapágyas,"főmotor szétbontása, erősen szennyezett volt: alapos mosás, ventilátor és csapágycsere szükséges
főorsó szétbontása",,"főmotor: Tóth István
főorsó: Schmiedmeiszter P., Budai Attila",8 + 8 + 8 óra,,"főorsó: 4 db FAG HC7008-C-T-P4S-UL (40BNR10 SUELP kiváltója)
főmotor: 2 db SKF 6205-2RSLTN9 / C3VT162 (6205V kiváltója)
Ventilátor: 10-33258-00",,,,,,
TH0140,0,M10164,2021.11.02.,,2021.11.08,DÖMÖTÖR ISTVÁN EV,Snupy,Hidraulika szivattyú + villanymotor,,,"villanymotor csapágyas, lehet, hogy le is égett, kuplung teljesen elkopott","villanymotor szétbontása, tisztítása",,"Schmiedmeiszter P., Budai A., Rákosréti J.",8 + 8 óra,,"csapágyak 6004 1 db, 6204 1 db 
S 25 x 40 X 08 R NBR70
S 25 x 40 X 08 RST NBR
kuplung furat bővítés, horony vésés",,Kovács Péter apukája,,,,
TH0141,2,M15196/M17191,2021.11.15.,,,VÁMOSGÉP KFT.,WFQ-80NCT7,Z golyósorsó,,,"a „Z” tengelyre hibát jelez a megmunkáló központ. Info: ha a hibát kijelzi, akkor még nem mindig tilt le a gép (elektronikáján a zöld led világít), a hibát nem mindig lehet törölni, ha eldobja magát, akkor az összes elektronika pirosra vált. + info: Hibalejelentés szövege: CNC VII 233-121: 026 tengely I2t figyelmeztetést ír ki majd pár percen belül ha nem fut a program(szerszámcserénél, kézi üzemmódban, program stop-nál) megáll 8640 (A motor I2T értéke túl magas Z)  hibával. A gép folyamatos használata közben az idõ elteltével egyre gyakrabban.",a golyósorsót kiküldjük a KSK-nak/ bejött 02.04?,,,,Fűz Zoli felmérés,,,,bejött 02.04.,,,
TH0142,0,M09132,2021.11.25.,,2022.05.18.,MEDIMETAL KFT.,MM-760 (FCL460),Körasztal,GOLDEN SUN-CNCT-101 2 tengelyes,,C-tengely megszorult ismét,"Szétszerelés, javítás, teszt",,"Schmiesmeiszter P, Budai A",16 óra,,"Kuplung lemezek, fékgyűrűk - Tartalék/ GSA fékgyűrű szett CNCT-101 körasztalhoz,10-00023055-00",,,fékalkatrészekre várunk - bejött 03.25,,,
TH0143,0,M14185,2021.11.29.,,2021.12.15.,JÁRMŰ ZRT.,PSGS-3060BH,Motor,Walrus hűtőfolyadék szivattyú motor,,hűtőfolyadék elfolyik a tartályon lévő szivattyúmotor csonkjánál,"csapágycsere, tömítéscsere",,,2 óra,,"Csapágyak: 6201-2RSH_S SKF 1 db, 6204 2RSH SKF 1 db, Csúszógyűrűstömítés FORGÓRÉSZ ICP C82LL SIT - VITON/ÁLLÓRÉSZ C51 SIC-VITON 12mm (4016930090),10-00825112-00",,,,,,
TH0144,0,M14093,2021.11.29.,,2021.12.09.,UNITOOL-PLASTIK KFT.,EmR-1020D,Főmotor,AiS 100LW-15-26H(D)átfúrt teng/20kW;Smax:14000,,nem sikerült a helyszínen kiegyensúlyozni,"átütés vizsgálat: rendben, a motor megbontása, csapágyazása szükséges, csapágyazásra kiküldve Csapó Úrhoz",,Schmiedmeiszter P.,4 + 2 óra,,,,,,,,
TH0145,0,M16022,2021.11.30.,,2021.12.15.,PLASTIC-FORM KFT.,BMC-2015,Főorsó,10.000 RPM (KAFO RD5059004),,kézzel is nehezen forgatható,"főorsó takarítása, bontása
járató átalakítása, hogy meg tudjuk járatni a főorsót, 4 körmös célszerszám készítése a főorsó szétszereléséhez, rugóköteg karbantartása, csapágyak cseréje, összeszerelés,  járatás 5.000 rpm-ig klíma nélkül",,Schmiedmeiszter P.,10 óra,-,"1 készlet (4 db)  NSK100BNR10XTDBBCA40P02 csapágy
1 db Deublin 1114-020-188",-,-,,,,
TH0146,0,M16022,2021.11.30.,,2021.12.15.,PLASTIC-FORM KFT.,BMC-2015,Főmotor,AiS 132,,"járatásra, vizsgálatra","átvezető hüvely elferdült a kiszerelés során, pótlása szükséges
Deublin 1114-020-188 cseréje, főmotor kiküldése Csapó Úrhoz:12.02.
csapágyas, nyomáspóbát nem bírja
kapott az Ügyfél cseremotort, ezt nagyjavítással (60%) számoljuk",,Schmiedmeiszter P.,2 óra,,"Csapágyak: 2 db NSK 7209CTRDULP3 (10-10000487-00), 1 db NTN 6207T2XLLBC3P5/L#01 (10-10168904-00), átvezető hüvely",,,,,,
TH0147,0,-,2021.12.07.,,2021.12.09,EL-ZET spol sr.o.,EmL-610,Erőfokozó,"HAO CHENG 3,5 tonnás, 13 mm löketű (EmL/EmR gépeken)",,tömítéseket cserélni,"munkahenger szétszerelés, tömítések cseréje, levegőszelep cseréje, próba: prés alatt 7,5 tonnnával nyomtuk meg",24 V szelep próbája,Budai Attila,3 óra,-,"KN/SN21 14 x 20 x 05/06 NBR90 MA21 (4016930090),10-21142005-00, KN/SN25 14 x 22 x 05/6 (TTU) (4016930090),10-25142256-00, SNI39 40 x 50 x 06/7 (TTI/L) (4016930090),10-40500670-00, O 13 x 2,5 NBR70 (4016930090),10-00132570-00, Szimering / 40x3 NBR70 (4016930090),10-40307000-00 - 3 db, O 60 x 3 NBR70 (4016930090),10-00060370-00, O 89,2 x 5,7 NBR70 (4016930090),10-08925770-00, O 95 x 2 NBR70 (4016930090),10-00095270-00, O 93 x 3 NBR70 (4016930090),10-00093370-00
- 1 db Mindman MVSC-300-4E1-DC24-L szelep",-,tömítések: Seal Ring,,,,
TH0148,0,M16285,2021.12.07.,,2021.12.17,GIA FORM KFT.,VD-510,Főmotor,HPB SVM75L3020E,,beindításkor súrlódó hangja van,"motor végében szennyeződés volt, motor szellőző furatainak takarítása, a hibát nem ez okozta, hanem a megkeményedett kuplung csillag",,1,2 óra,-,,,,,,,
TH0149,0,M06082,2021.12.02.,,2021.12.09,BOCZ-N KFT.,TNL-120ALDT,Motor,Baumüller DS71-S hajtott szerszám motor,20609815,,"átcsapágyazás, kapocsléc megragasztása, Ügyfél által beejtette anya kiszedése",,1,4 óra,,Csapágyak: nem sikerült kideríteni,,,,,,
TH0150,0,M19050,2021.12.15.,,2021.12.17,CSABA METÁL ZRT. ,EmB-1305G,Szerszámcserélő karforgató hajtómű,,,elakad forgás közben,"szétszerelés, javítás, beállítás",,"Schmiedmeiszter P.,Gulyás J.",2 + 6 óra,,"O zsinór 01,50 MM NBR70 (4016930090),10-10015070-00 1,5 m, O zsinór 01,78 MM NBR70 (4016930090),10-00017870-00 1,5 m, O zsinór 02,00 MM NBR70 (4016930090),10-00120070-00 1,5 m",,,,,,
TH0151,0,M15116,2021.12.16.,,2022.01.07.,SZKALICZKI ÉS TÁRSAI KFT.,EmR-1020D,Főorsó,,,főorsón lévő szerszámoldó dugattyú átenged,"szétszerelés, javítás, csapágycsere, összeszerelés, járatás",,Schmiedmeiszter P.,14 óra,,"O 10 x 3 NBR70 (4016930090),10-10010370-00 - 10 db, O 06 x 2 NBR70 (4016930090),10-10006270-00 - 10 db, O 29 x 3 NBR70 (4016930090),10-00029370-00 - 6 db, Gumi / O-gyűrű 30x3 NBR70Sh,10-00022934-00 - 6 db, O 34,65 x 1,78 NBR70 (4016930090),10-34651787-00 - 6 db, O 145 x 3 NBR70 (4016930090),10-00145370-00 - 10 db, O 119 x 3,5 NBR70 (4016930090),10-01193570-00 - 2 db, O 83 x 3 NBR70 (4016930090),10-00083370-00 - 2 db, X 81,92 x 5,33 NBR70 X-gyűrű (4016930090),10-81925337-00, X 100,97 x 5,33 NBR70 X-gyűrű (4016930090),10-10097533-00, KNA28 125 x 115 x 08/07 (TTE) (4016930090),10-28125115-00, GY K17 (közép) 125 x 115,2 x 11,5 (fm.) NBR (39269097),10-12511521-00, 7014 kerámia csapágy 4 db",,,,,,
TH0152,0,M17244,2021.12.17.,,2021.12.21.,GAMMA MŰSZAKI ZRT.,MM-850,Főorsó,,,zajos,"csapágyazás, rugóköteg ellenőrzés, főorsó homlok felcsiszolás",,Schmiedmeiszter P.,8 óra,,7012 CTRDULP3 csapágy -2 pár,,,,,,
TH0153,0,M13052,2021.12.20.,,2022.01.07.,STEELFORG KFT.,MM-760,Körasztal,Walter TANIS 125 NEG,2503,"Ai2,5 motor leégett, kábelezés javítása, anakonda cseréje","motor leszerelése, csatlakozó cseréje, kábelezés cseréje, új motor felszerelése",,Kovács R.,4 óra,,,"Ai2.5-54-40-EH/4096-Z1 szinkron szervomotor, Gégecső fekete szigetelt Pg 21 - 2m, Kábel 4x1,5 - 2,5m, Kábel TTL - 2,5m",,,,,
TH0154,0,M13148,2021.12.21.,,2022.01.19.,SCINTILLA KFT.,EmL-510B ,"Főorsó 
Főmotor","ROYAL 8.000 RPM  
HPB VM100L-54-40-10-08","177640 
-","főorsó alsó csapágyak rezgés gyorsulási értékei az elfogadható határnál magasabbak, javasolt a cseréjük, főorsó és főmotor szíjtárcsák futófelületei kopottak, cseréjük javasolt, szíj csere ajánlott","főorsó csapágyazása+szíjtárcsa csere, főmotor szíjtárcsa csere+állapotfelmérés szíj+ Deublin cseréje",,"Gulyás József, Schmiedmeiszter P.",14 óra,-,"695-5GT-30 szíj, Deublin 902-120-188
főmotor: 1 db 6207 és 1 db 6308 csapágy
főorsó: 4 db NTN7012UC G / GNP4",,,,,,
TH0155,0,M18120,2021.12.21.,,2022.01.05.,EMPLASTRUM KFT.,EmL-610B,Főorsó,10.000 RPM,330676,csapágyas,"takarítás, szétbontás, átcsapágyazás, összeszerelés, járatás, O-gyűrűk cseréje",,Gulyás József,8 óra,-,4 db 60BNR10STSUELP3,-,,,,,
TH0156,0,M18018,2022.01.06.,,2022.01.07.,PETRUS IPARI KERESKEDELMI ÉS SZOLGÁLTATÓ KFT.,EmL-610B,Tármotor,SOHIX SVB18,33395634,fék beragad,"szétszerelés, alkatrészcsere, összeszerelés",,Schmiedmeiszter P.,8 óra,,fékház - tekercs csere,relé - diódaház csere,,,,,
TH0157,0,M13166,2021.12.16.,,2022.01.06.,PRO FORM KFT.,EmR-1304D,Szerszámoldó munkahenger,HINAKA BPF-10U11M110FA,,"orsó oldásnál megint ""köpködi"" az olajat","takarítás, bontás, O-gyűrűk cseréje, összeszerelés, nyomáspróba",,Schmiedmeiszter P.,6 óra,,,,,,,,
TH0158,0,M06151,2022.01.07.,,2022.01.18.,HUSZÁR SZERSZÁM ÉS KÉSZÜLÉKGYÁRTÓ KFT.,TMV-1600,Főorsó végén lévő szerszámoldó egység,,,"szivárog a hűtővíz az öntvényen keresztül, el van repedve, összes tömítés cserére szorul. 2 éve is volt bent ez az alkatrész, akkor csak tömítéscsere volt.","Szétszerelés, tisztítás, hibakeresés, tömítés csere, összeszerelés",,Schmiedmeiszter P.,16 óra,,"KN/SN21 25 x 33 x 05/06 NBR90 MA21 (4016930090),10-25330506-00, Gumi / O-gyűrű 48x2 NBR 70,10-00037974-00, O 48 x 3,5 NBR70 (4016930090),10-00483570-00, GY S6 43 x 52 x 6,5 NBR (39269097),10-06435265-00",,,,,,
TH0159,0,M21013,2022.01.11.,,2022.02.04.,MVM PAKSI ATOMERŐMŰ ZRT.,EmL-1200V,Főorsó,15.000 RPM,,"hangos, kézzel forgatva szorul (a gép 2021.10. hóban ment ki!)",csapágyazás,,Schmiedmeiszter P.,12 óra,,4 db 70BNR10HTYNDBBELP4-NSK csapágy főorsóhoz,,,,,,
TH0160,0,M15232,2022.01.25.,,2022.02.01,BEST-TOOL KFT.,VD-510,Főorsó,,,"szerszám cseréléskor a szerszámot nem húzza be teljesen a kúpra, kotyog  a helyén. Minden  szerszámnál , minden szerszámtárhelynél ugyan ez a hiba. A főorsóban szennyeződés nincs. A szerszámbefogó kúpok épek, nem sérültek.","Szétszerelés, tányérrugók cseréje, támasztógyűrű esztergálása, összeszerelés",,Schmiedmeiszter P.,4 óra,,56 db DIN2093 50CrV4 28x12.2x1.5mm,,,,,,
TH0161,0,M06082,2022.01.25.,,2022.02.01.,BOCZ-N KFT.,TNL-120ALDT,Motor,BAUMÜLLER DS71-S hajtott szerszám motor,20609815,"a motor áram alatt is hangos és nem mindig forog, az alábbi jelenségek voltak: 1, nálatok volt karbantartáson, a kapocsdeknit ragasztottátok, csapágycsere történt (?) 2, beszerelés után sípoló hanggal forgott, nagyobb fordulatnál zörgés, csapágyhang volt tapasztalható 3, kiszerelés előtt már nem forgott, csak ""búgott"" (ezt kiszerelt állapotban is tapasztaltuk) Ezeket vegyétek figyelembe a bevizsgálásnál. ",,"Tamagawa 1024 TTL jeladó beállítása, próbák során hiba jelentkezik","Kopányi Gergő, Rákosréti József","1 + 0,5 óra",,,,,,,,
TH0162,0,M11272/M11273,2022.01.25.,,2022.01.26.,S.C.COMPONENTE AUTO SRL,TNL-100A,Motor,AiB08-54-30-EH/M,,felújításra szorul,"csapágyazás, jeladó csere",,Schmiedmeiszter P.,3 óra,,"Csapágy: SKF 6205-2RSLTN9 , SKF 6204-2Z  ",EQN 1337 (id:683 645-01 Sn: 76 783 936) jeladó ,,,,,
TH0163,0,M20083,2022.01.24.,,2022.01.24.,ROYAL PRODUCTION KFT.,EML 1020E,Motor,SESAME G12V 200S-100,,"a forgácskihordó bekapcsolása után ""Motorvédő kapcsolók hibája""  hibaüzenettel leáll és a biztosítékot leveri",tisztítás ,,Schmiedmeiszter P.,1 óra,,,,,,,,
TH0164,0,M18246,2022.01.25.,,2022.01.28.,MST ENGINEERING KFT.,MXS-400DD,Főmotor,AiS 100LW15-26H(D) átfúrt 15.000 max. fordulat (20 kW; 72 Nm; 46 A) hengeres retesz nélküli,CC2-10-5045,hangos,"vízátvezető csere, kiegyensúlyozás, nyomáspróba",kötődoboz szerelés,"Kovács P., Rákosréti J., Kovács R.",3 + 1 + 2 óra,,vízátvezető,"csatári műanyag kötődoboz, sorkapcsok, 2006 10mm2 4 db, 2010 10mm2 8 db, sorkapocs végbak 2 db",,,,,
TH0165,0,M06151,2022.01.31.,,2022.02.04.,HUSZÁR SZERSZÁM ÉS KÉSZÜLÉKGYÁRTÓ KFT.,TMV-1600A,Főorsó,,,tetején egy idő után folyik a hűtővíz,"O gyűrű, szemering csere",,"Schmiedmeiszter P., Budai A.",16 óra,,"O 48 x 3,5 NBR70 (4016930090),10-00483570-00, GY S6 43 x 52 x 6,5 NBR (39269097),10-06435265-00",,,,,,
TH0166,0,BKV szám: FG-1,2022.02.03.,,2022.02.08.,BKV-VJSZ KFT.,EEN-400,Revfej,"03-002-05  380  1,7",,"revolverfej. nem áll be a nullpontra, nem húzza be a szerszámot","Szétszerelés, állítóék és rugó cseréje, összeszerelés",,GulyásJ,5 óra,,"állítóék, rugó",-,,,,,
TH0167,0,60A0381;M11087/M22027/P22013,2022.02.04.,,2022.02.11.,EFT ÉS TÁRSAI SZERSZÁMÉLEZŐ ÉS GYÁRTÓ KFT.,JCL-75,Motor,Forgószerszám motor,,"Nem működik, folyik belőle a víz","Szétszerelés, csapágyak és szemering cseréje, szétszerelt motor szárítása",Motor elektromos ellenőrzése,Schmiedmeiszter P. Budai Attila,8 óra,,"Csapágyak 6204-2Z/ C3, 6203-2Z/C3 és szemering WAS 20 40 7 FKM",,,,,,
TH0168,0,M20050,2021.12.13.,,2022.07.22,DUNA PRECÍZIÓS KFT. (NCT fejlesztés),HSP-450 (FD-450) grafitmaró (3.),Új gép / Fejlesztés,,,Új gép/ fejlesztés,"Elszívó leszerelése, kiküldése Taksonyba
Levegőrendszer beszerelése, szerszámcserélő beállítása
motorosó leszerelése, kiküldve Taksonynak -> most egy csere motororsó van nálunk, ami leégett, a motoorsó öntvénye Fogarasin a gép mellett
mérőlécek leszerelése, kiküldése Taksonynak
2 db lineáris kocsi cseréje szükséges -> 4 db van Taksonyban
Z energialánc szegmenseket (kb.10 db-ot) küldtünk ki Taksonyba
tititá gom piros -> kékre kell cserélni",Bekötés,Schmiedmeiszter P. Budai Attila,eddig 7+16+2+8(nyomógomb burkolat alakítása),,"10-es levegőcső 12 méter
10-es ""T"" gyorscsatlakozó 2 db 
10-es dugó 2 db 
8/10 szűkítő 2 db 
Egyenes 1/4"" / 6-os csatlakozó 2 db 
Egyenes 1/4"" / 8-as csatlakozó 2 db 
Egyenes 1/4"" / 10-es csatlakozó 2 db 
Egyenes 1/8"" / 6-os csatlakozó 2 db 
Egyenes 1/8"" / 8-as csatlakozó 2 db 
Egyenes 1/8"" / 10-es csatlakozó 2 db ",Tápkábel,,A gép 2022.07.22-én kikerült Taksonyba és onnan ment később a Duna Precízióshoz.,,,
TH0169,0,M16143,2022.02.08.,,2022.02.11.,LIKER KFT.,HTL-76,Főmotor,"HPB VM132L-54-40-15-06 (26,17 kW; 166,6 Nm; 46,69 A) hengeres-reteszes",,csapágyas,"Szétszerelés, csapágycsere, összeszerelés, tesztek","Bekötés, ellenőrzés", Budai Attila,8 óra,,2 db 6309 2Z/C3 csapágy,,,,,,
TH0170,0,P21094/M21023,2021.11.17.,,2022.02.15.,NCT Fejlesztés (MOBILE MEDIA SOLUTION ZRT.),VD-510S?,,,,,,,Schmiedmeiszter P. Budai A.,12 óra,,,,,Kiszállítás Taksonyba,,,
TH0171,0,M11235,2021.12.xx.,,2024.07.31. átszállítás Taksonyba,NCT,Röperwerk eszterga,,,,,"gép bontása, tisztítása, hibás elemek felmérése - Kiss Ferenc
Siemens szervomotorok rendbetétele",,,,,,,,,,,
TH0172,0,M05006,2022.02.08.,,2022.02.09.,FIRE CONTROL KFT. (DENDRIT KFT.),TMV-850,Szervomotor csészebillentő munkahenger,,Szervomotor csészebillentő munkahenger,Nem fékezett,"Tisztítás, kivizsgálás- csere, egy új lett kiküldve",,Budai Attila,6 óra,,,,,,,,
TH0173,0,M18026,2022.02.08.,,2022.03.29.,SL-FORG KFT,TCS-2000L\51 eszterga,Főmotor,"HPB VM132S-54-40-15-06 (17,37 kW; 110,6 Nm; 31,69 A) hengeres reteszes",,Valószínűleg csapágyhibás-tengely/ szíjtárcsa nagyon tönkrement,"Szétszerelés, csapágycsere, tengely javítása, szíjtárcsa csere, összeszerelés, tesztek",,Schmiedmeiszter P.,"Szétszerelés, öszeszerelés, járatás - összesen: 8 óra",,"Szíjtárcsa, csapágyak: 1 db  6307-2Z/C3 és 1 db  6309-2Z/C3",,tg. javítás beérkezés kb. március 9,,,,
TH0174,0,M17228,2022.02.10.,,2022.02.21.,RÁK ÉS RÁK KFT.,NCT MXS-300MT,"Főorsó 
Főmotor","15.000 RPM  
AiS 100",,"Ütközés történt, főorsó zajos, remeg. Főmotor hátsó csapágyazásánál is magas rezgésérték mérhető.","Kivizsgálás, főorsó szétszerelése, kivizsgálása, csapágy, ""O"" gyűrű csere, összeszerelés, motor és főorsó tesztelése",,Schmiedmeiszter P.,24 óra,,"70BNR10HTYNDBBELP4 csapágy-4 db 6 db  átmérő 3,1 x 144,4 ""O"" gyűrű",,,,,,
TH0175,0,Nincs,2022.02.10.,,2022.02.16.,SL MANUFACTURING KFT.,MC2100,Motor,EZG 830-2-203 IP44,3-1578/88,"A motornál időnként nem old a fék. Csapágy csere, szénkefe csere, tisztítás, forgó rész felszabályzása.","Szétszerelés, csapágycsere, tisztítás - erősen szennyezett, zsíros volt, szénkefék vizsgálata, fékrendszer rendbetétele, beállítása, teszt",motor megforgatása,"Schmiedmeiszter P.
Budai A.
Kovács I.",16 óra,,2 db 6207 2Z csapágy,,,,,,
TH0176,0,M04205,2022.02.22.,,2022.03.01.,GYURÓ KFT.,TNL-100AL2,"Főorsó 
Főmotor","- 
DAF132K23A15-5",,"van egy kis hangja a főorsónak, kézzel nehezebb tekerni; nullfeszt 2-3 próbálkozás után veszi be minden alkalommal reggelente; karbantartást kérnek","Szétszerelés, csapágycserék, összeszerelés,tesztek, főmotor járatás, egyensúlyozás",,"Budai Attila, Ömböli Zoltán, Rákosréti J.","főmotor 10 óra + 2 óra , főorsó 14 óra",,"Főmotor: 1 db 6310 ZZC3, 1 db 6312.ZZC3, Főorsó: 1db NN3020MBKRE44CC1P4-NSK, 1 db 100 BAR 10 ETYNDBLP4A-NSK, 1 db NN3017MBKRE44CC1P4-NSK",,,,,,
TH0177,0,M09131,2022.02.15.,,2022.03.16.,KOKILLA PREC KFT.,VMC-1600F,Körasztal,GOLDEN SUN CNC200R,11200R351-2011-03,"0,15-ön belül nem talál vissza (garantált min.: 0,001 fok.indexálási egység)","Szétszerelés, kivizsgálás, szimering csere, tesztek",,"Schmiedmeiszter P. 
Budai Attila",22 óra,,"2 db S 150 x 170 X 15 RST NBR70 (8484109000) - 10-15017015-00, 1 db  25x37x7 szimering, 2 db Csapágy / 7003 C_KBS demokratikus (keleti) csapágy - 10-1007003-00, 1db IKO japan RNA4911 csapágy",,,,,,
